seed,alpha,automation_coverage,deferral_rate,selective_accuracy,selective_risk,system_accuracy_assuming_correct_review,automatic_failure_recall,reference_errors_deferred,mean_decision_cost,empirical_set_coverage,empirical_class_zero_coverage,empirical_class_one_coverage,mean_prediction_set_size,singleton_rate,empty_set_rate,ambiguous_set_rate
11,0.02,0.7906666666666666,0.20933333333333334,0.9949409780775716,0.00505902192242833,0.996,0.8627450980392157,0.5,0.12133333333333333,0.9726666666666667,0.9723947550034506,0.9803921568627451,1.1846666666666668,0.8153333333333334,0.0,0.18466666666666667
11,0.05,0.7906666666666666,0.20933333333333334,0.9949409780775716,0.00505902192242833,0.996,0.8627450980392157,0.5,0.12133333333333333,0.9553333333333334,0.9544513457556936,0.9803921568627451,1.1673333333333333,0.8326666666666667,0.0,0.16733333333333333
11,0.1,0.892,0.108,0.9955156950672646,0.004484304932735426,0.996,0.8627450980392157,0.5,0.07066666666666667,0.892,0.8888888888888888,0.9803921568627451,0.976,0.976,0.024,0.0
11,0.15,0.8586666666666667,0.14133333333333334,0.9953416149068323,0.004658385093167702,0.996,0.8627450980392157,0.5,0.08733333333333333,0.856,0.8543823326432022,0.9019607843137255,0.8833333333333333,0.8833333333333333,0.11666666666666667,0.0
11,0.2,0.812,0.188,0.9950738916256158,0.0049261083743842365,0.996,0.8627450980392157,0.5,0.11066666666666666,0.808,0.8060731538992408,0.8627450980392157,0.812,0.812,0.188,0.0
23,0.02,0.492,0.508,0.989159891598916,0.01084010840108401,0.9946666666666667,0.803921568627451,0.5555555555555556,0.25933333333333336,0.962,0.9606625258799172,1.0,1.4713333333333334,0.5286666666666666,0.0,0.4713333333333333
23,0.05,0.492,0.508,0.989159891598916,0.01084010840108401,0.9946666666666667,0.803921568627451,0.5555555555555556,0.25933333333333336,0.9266666666666666,0.9240855762594893,1.0,1.4353333333333333,0.5646666666666667,0.0,0.43533333333333335
23,0.1,0.868,0.132,0.9930875576036866,0.0069124423963133645,0.994,0.803921568627451,0.5,0.08466666666666667,0.8666666666666667,0.8640441683919945,0.9411764705882353,0.918,0.918,0.082,0.0
23,0.15,0.8246666666666667,0.17533333333333334,0.9927243330638642,0.007275666936135812,0.994,0.803921568627451,0.5,0.10633333333333334,0.8226666666666667,0.8191856452726018,0.9215686274509803,0.8553333333333333,0.8553333333333333,0.14466666666666667,0.0
23,0.2,0.7853333333333333,0.21466666666666667,0.9957555178268251,0.004244482173174873,0.9966666666666667,0.7647058823529411,0.7222222222222222,0.12333333333333334,0.782,0.782608695652174,0.7647058823529411,0.7853333333333333,0.7853333333333333,0.21466666666666667,0.0
42,0.02,0.26866666666666666,0.7313333333333333,0.9851116625310173,0.01488833746898263,0.996,0.8627450980392157,0.5384615384615384,0.36966666666666664,0.9813333333333333,0.9806763285024155,1.0,1.714,0.286,0.0,0.714
42,0.05,0.26866666666666666,0.7313333333333333,0.9851116625310173,0.01488833746898263,0.996,0.8627450980392157,0.5384615384615384,0.36966666666666664,0.9493333333333334,0.9475500345065563,1.0,1.6813333333333333,0.31866666666666665,0.0,0.6813333333333333
42,0.1,0.896,0.104,0.9940476190476191,0.005952380952380952,0.9946666666666667,0.8627450980392157,0.38461538461538464,0.08266666666666667,0.894,0.8916494133885439,0.9607843137254902,0.9653333333333334,0.9653333333333334,0.034666666666666665,0.0
42,0.15,0.8586666666666667,0.14133333333333334,0.9937888198757764,0.006211180124223602,0.9946666666666667,0.8627450980392157,0.38461538461538464,0.10133333333333333,0.8566666666666667,0.8530020703933747,0.9607843137254902,0.8933333333333333,0.8933333333333333,0.10666666666666667,0.0
42,0.2,0.8046666666666666,0.19533333333333333,0.9942004971002486,0.00579950289975145,0.9953333333333333,0.8627450980392157,0.46153846153846156,0.115,0.8013333333333333,0.7977915804002761,0.9019607843137255,0.8106666666666666,0.8106666666666666,0.18933333333333333,0.0
67,0.02,0.8166666666666667,0.18333333333333332,0.9942857142857143,0.005714285714285714,0.9953333333333333,0.7254901960784313,0.631578947368421,0.12166666666666667,0.986,0.9868875086266391,0.9607843137254902,1.17,0.83,0.0,0.17
67,0.05,0.8166666666666667,0.18333333333333332,0.9942857142857143,0.005714285714285714,0.9953333333333333,0.7254901960784313,0.631578947368421,0.12166666666666667,0.94,0.9392684610075914,0.9607843137254902,1.1226666666666667,0.8773333333333333,0.0,0.12266666666666666
67,0.1,0.896,0.104,0.9947916666666666,0.005208333333333333,0.9953333333333333,0.7254901960784313,0.631578947368421,0.082,0.896,0.8971704623878537,0.8627450980392157,0.93,0.93,0.07,0.0
67,0.15,0.8506666666666667,0.14933333333333335,0.9945141065830722,0.0054858934169279,0.9953333333333333,0.7254901960784313,0.631578947368421,0.10466666666666667,0.85,0.8502415458937198,0.8431372549019608,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.0
